Date,Time,Bucket Empty,Model,Serial No.,Volume Emptied (pts),Run (Guest AH),Run (Out Temp),AH (In) - AH (Out) [G],Temp (In) [G],Temp (Out) [G],Temp (Epan) [G],Temp (Guest) [G],Temp (Front) [G],AH (Guest) [G],AH (Front) [G],AH (EPan) [G],Temp (WxStn) [G],AH (WxStn) [G],AH (In) - AH (Out) [O],Temp (In)  [O],Temp (Out)  [O],Temp (Epan)  [O],Temp (Guest)  [O],Temp (Front)  [O],AH (Guest)  [O],AH (Front) [O],AH (EPan) [O],Temp (WxStn) [O],AH (WxStn) [O]
5/27/2019,11:22:00,2019-05-27 11:22:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
5/28/2019,18:30:00,2019-05-28 18:30:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
5/29/2019,16:29:00,2019-05-29 16:29:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
5/30/2019,22:54:00,2019-05-30 22:54:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2019,18:03:00,2019-06-03 18:03:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
6/5/2019,18:40:00,2019-06-05 18:40:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
6/7/2019,18:01:00,2019-06-07 18:01:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
6/8/2019,20:46:00,2019-06-08 20:46:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
6/9/2019,21:55:00,2019-06-09 21:55:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
6/11/2019,12:36:00,2019-06-11 12:36:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2019,7:18:00,2019-06-17 07:18:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
6/18/2019,23:13:00,2019-06-18 23:13:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
6/20/2019,21:56:00,2019-06-20 21:56:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
6/21/2019,17:10:00,2019-06-21 17:10:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
6/23/2019,9:48:00,2019-06-23 09:48:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
6/27/2019,22:44:00,2019-06-27 22:44:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
6/28/2019,22:51:00,2019-06-28 22:51:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2019,0:21:00,2019-06-30 00:21:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2019,22:32:00,2019-07-01 22:32:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/3/2019,23:12:00,2019-07-03 23:12:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/4/2019,21:11:00,2019-07-04 21:11:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/6/2019,7:03:00,2019-07-06 07:03:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/7/2019,7:00:00,2019-07-07 07:00:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/8/2019,14:00:00,2019-07-08 14:00:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/9/2019,23:00:00,2019-07-09 23:00:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/11/2019,7:13:00,2019-07-11 07:13:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/12/2019,23:08:00,2019-07-12 23:08:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/15/2019,23:05:00,2019-07-15 23:05:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/19/2019,22:17:00,2019-07-19 22:17:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
9/15/2019,,,FAD704DWD,unknown,164.0,,,,,,,,,,,,,,,,,,,,,,,,
9/16/2019,,,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
9/20/2019,,,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
9/27/2019,,,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
9/28/2019,,,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2019,,,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
10/2/2019,,,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
10/5/2019,,,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
10/12/2019,,,FAD704DWD,unknown,16.4,0-24,,,,,,,,,,,,,,,,,,,,,,,
10/14/2019,,,FAD704DWD,unknown,16.4,0-24,,,,,,,,,,,,,,,,,,,,,,,
10/19/2019,,,FAD704DWD,unknown,16.4,0-24,,,,,,,,,,,,,,,,,,,,,,,
